,lat,lon
408,"-20°09'20.500""","-43°53'13.600"""
409,"-16°08'21.600""","-56°23'45.600"""
410,"-20°09'21.200""","-44°26'49.500"""
411,"-23°21'17.300""","-47°43'48.900"""
412,"-20°13'52.750""","-43°26'30.540"""
413,"-23°30'32.300""","-47°23'27.200"""
414,"-02°29'02.500""","-56°12'06.600"""
415,"-09°47'34.047""","-63°33'34.869"""
416,"-14°48'40.373""","-41°00'17.917"""
417,"-28°27'23.190""","-49°22'13.980"""
418,"-20°33'45.400""","-43°57'03.100"""
419,"-28°35'12.667""","-49°26'35.575"""
420,"00°24'06.026""","-51°45'28.112"""
421,"-21°59'46.400""","-47°10'06.900"""
422,"-28°34'38.200""","-49°26'31.900"""
423,"-19°34'28.232""","-43°14'46.628"""
424,"-16°14'20.620""","-56°39'09.370"""
425,"-15°55'18.280""","-56°09'47.540"""
426,"-09°52'32.228""","-39°52'21.723"""
427,"-20°16'24.690""","-43°54'00.457"""
428,"-00°52'56.800""","-52°22'50.100"""
429,"-15°40'33.880""","-56°21'56.860"""
430,"-06°24'21.578""","-50°05'03.123"""
431,"-06°04'32.800""","-52°15'18.700"""
432,"-14°50'36.750""","-56°33'46.670"""
433,"-15°55'07.900""","-41°02'20.600"""
434,"-20°25'32.160""","-43°51'52.890"""
435,"-12°53'44.948""","-46°49'05.224"""
436,"-20°03'52.300""","-44°06'50.700"""
437,"-05°46'46.700""","-50°32'19.100"""
438,"-17°08'46.200""","-46°54'07.800"""
439,"-19°24'34.100""","-47°57'20.460"""
440,"-20°07'05.850""","-44°19'11.450"""
441,"-17°10'27.000""","-46°52'45.000"""
442,"-02°29'45.200""","-56°11'16.840"""
443,"-23°29'47.900""","-46°14'50.400"""
444,"-20°09'21.800""","-44°26'29.000"""
445,"-19°56'02.000""","-44°28'19.000"""
446,"-16°03'22.500""","-43°07'45.000"""
447,"-20°08'49.844""","-43°53'08.710"""
448,"-18°16'47.500""","-46°51'43.600"""
449,"-13°41'12.251""","-40°41'29.982"""
450,"-19°48'55.680""","-43°42'36.490"""
451,"-19°47'19.900""","-46°52'44.000"""
452,"-20°04'48.940""","-44°06'46.590"""
453,"-20°22'45.940""","-43°55'00.850"""
454,"-20°07'54.830""","-44°22'35.900"""
455,"-18°09'07.693""","-47°48'20.401"""
456,"-09°52'44.626""","-39°52'17.061"""
457,"-11°35'20.200""","-47°52'59.420"""
458,"-16°17'42.550""","-56°43'32.220"""
459,"-06°14'52.779""","-49°44'47.639"""
460,"-00°54'40.017""","-52°25'56.866"""
461,"-28°29'31.600""","-49°27'37.000"""
462,"-18°55'54.000""","-43°24'06.000"""
463,"-11°38'57.580""","-47°40'34.240"""
464,"-19°39'15.000""","-46°57'11.000"""
465,"-20°08'51.941""","-44°27'36.371"""
466,"-20°13'59.200""","-43°51'24.300"""
467,"-19°24'38.340""","-47°57'20.460"""
468,"-01°41'55.500""","-56°28'13.000"""
469,"-28°43'45.000""","-49°14'54.000"""
470,"-20°07'31.200""","-44°24'37.700"""
471,"-15°41'01.525""","-56°18'14.936"""
472,"-15°45'21.620""","-56°09'58.550"""
473,"-20°08'48.020""","-44°27'15.790"""
474,"-02°30'02.500""","-56°10'00.500"""
475,"-19°39'11.977""","-46°57'22.312"""
476,"-19°12'01.263""","-57°38'21.980"""
477,"-10°32'42.000""","-40°24'52.400"""
478,"-20°08'48.680""","-44°27'05.270"""
479,"-10°49'19.200""","-62°50'02.200"""
480,"-19°57'54.000""","-43°50'29.000"""
481,"-09°52'46.158""","-39°51'54.612"""
482,"-20°06'19.708""","-43°24'15.056"""
483,"-03°16'30.000""","-47°44'10.800"""
484,"-11°39'00.010""","-47°40'30.010"""
485,"-20°22'37.870""","-43°54'45.680"""
486,"-09°51'11.005""","-39°51'53.799"""
487,"-19°52'33.440""","-44°06'01.770"""
488,"-19°24'35.100""","-47°57'20.460"""
489,"-20°08'10.800""","-44°24'18.900"""
490,"-09°52'29.492""","-39°52'17.263"""
491,"-06°22'05.490""","-56°16'06.210"""
492,"-14°14'45.180""","-49°22'50.650"""
493,"-15°56'15.593""","-56°17'30.494"""
494,"-20°08'45.300""","-44°24'19.700"""
495,"-20°12'26.903""","-43°27'15.839"""
496,"-06°23'57.800""","-50°20'24.500"""
497,"-21°11'27.800""","-43°59'28.500"""
498,"-20°25'24.810""","-43°45'11.170"""
499,"-09°52'28.070""","-39°52'20.060"""
500,"-10°41'12.400""","-54°49'45.500"""
501,"-09°52'37.962""","-39°51'52.340"""
502,"-23°23'32.300""","-46°08'10.900"""
503,"-19°36'45.017""","-43°16'00.408"""
504,"-20°07'09.860""","-44°19'26.960"""
505,"-19°41'07.300""","-43°17'10.400"""
506,"-09°51'10.170""","-39°51'44.268"""
507,"-20°03'29.700""","-43°57'50.700"""
508,"-18°59'12.152""","-46°47'58.919"""
509,"-01°41'38.000""","-56°28'34.000"""
510,"-16°17'41.470""","-56°39'05.520"""
511,"-28°24'34.600""","-49°25'39.900"""
512,"-16°07'11.800""","-56°35'15.800"""
513,"-16°03'00.910""","-56°32'53.790"""
514,"00°24'28.480""","-51°43'48.020"""
515,"-15°39'33.400""","-56°17'06.300"""
516,"-06°06'36.700""","-52°16'31.000"""
517,"-01°41'14.300""","-56°28'05.700"""
518,"-17°30'38.400""","-46°49'42.000"""
519,"-19°32'51.300""","-43°01'17.500"""
520,"-20°08'13.740""","-44°23'01.130"""
521,"-20°08'25.400""","-44°25'20.900"""
522,"-01°27'56.900""","-56°23'26.400"""
523,"-15°54'19.508""","-56°12'11.095"""
524,"-14°15'22.900""","-49°25'28.280"""
525,"-20°06'39.300""","-44°13'26.700"""
526,"-20°22'46.200""","-43°55'00.900"""
527,"-09°51'05.515""","-39°51'50.083"""
528,"-00°44'18.326""","-60°04'33.114"""
529,"-06°33'37.400""","-51°10'00.200"""
530,"-06°24'20.600""","-50°03'25.600"""
531,"-19°36'39.006""","-47°01'45.717"""
532,"-15°57'16.750""","-56°16'21.730"""
533,"-14°14'39.159""","-49°22'03.151"""
534,"-15°52'21.100""","-56°10'19.900"""
535,"-09°51'19.270""","-39°51'54.399"""
536,"-14°38'26.700""","-52°29'49.000"""
537,"-15°45'45.420""","-56°15'53.860"""
538,"-23°10'39.400""","-48°20'35.900"""
539,"-11°15'38.500""","-39°21'27.250"""
540,"-16°16'55.770""","-56°37'02.010"""
541,"-20°22'43.870""","-43°55'00.130"""
542,"-20°07'15.440""","-44°19'22.200"""
543,"-19°46'34.733""","-43°11'27.772"""
544,"-11°15'36.450""","-39°21'27.250"""
545,"-15°57'35.500""","-56°28'46.600"""
546,"-28°28'23.000""","-49°27'29.000"""
547,"-22°56'18.300""","-47°14'24.900"""
548,"-19°33'48.506""","-43°12'22.618"""
549,"-23°39'44.784""","-48°00'05.036"""
550,"-19°47'01.777""","-43°09'54.766"""
551,"-20°26'24.500""","-43°54'18.500"""
552,"-14°51'02.100""","-56°34'25.400"""
553,"-06°47'20.006""","-56°36'29.199"""
554,"-19°15'45.000""","-57°31'39.400"""
555,"-19°38'28.870""","-46°58'25.859"""
556,"-00°53'51.673""","-52°22'44.295"""
557,"-16°15'10.270""","-56°36'21.640"""
558,"-20°10'40.642""","-43°29'51.299"""
559,"-20°27'17.200""","-43°46'37.000"""
560,"-20°10'15.500""","-44°27'16.500"""
561,"-22°51'40.100""","-47°14'19.000"""
562,"-09°49'01.200""","-63°33'11.500"""
563,"-06°23'39.900""","-50°19'11.300"""
564,"-09°52'42.222""","-39°51'47.635"""
565,"-11°14'06.400""","-40°31'44.700"""
566,"-23°10'41.300""","-48°20'47.500"""
567,"-00°45'23.673""","-60°05'16.904"""
568,"-20°11'47.700""","-43°52'01.500"""
569,"-20°06'57.240""","-44°17'53.170"""
570,"-19°32'43.650""","-43°01'51.370"""
571,"-20°22'50.560""","-43°55'09.330"""
572,"00°24'43.711""","-51°43'44.100"""
573,"-20°09'01.300""","-44°26'09.000"""
574,"-17°30'48.000""","-46°49'42.000"""
575,"-16°16'23.070""","-56°41'46.380"""
576,"00°24'35.510""","-51°43'45.270"""
577,"00°22'46.200""","-51°43'22.000"""
578,"-23°21'27.900""","-46°17'09.200"""
579,"-20°09'10.400""","-43°53'18.300"""
580,"-15°20'50.445""","-59°15'24.414"""
581,"-09°51'11.988""","-39°51'41.684"""
